;listing_id;name;type;city;neighborhood;latitude;longitude;person_capacity;beds;bedrooms;bathrooms;is_rebookable;is_new_listing;is_fully_refundable;is_host_highly_rated;is_business_travel_ready;pricing_weekly_factor;pricing_monthly_factor
0;28581061;La maison Clery;private_room;Paris;2e arrondissement;48.8692921869;2.3483348524;1;1;1;2;False;True;True;False;False;1;1
1;661961;studio PARIS PLACE EDITH PIAF 75020;entire_home;Paris;;48.8672844474;2.4032548642;2;1;1;1;False;False;True;True;False;0.88;0.69
2;1261705;chambre privée à louer @ paris oberkampf;private_room;Paris;;48.8678944172;2.3758967114;1;1;1;1;False;False;True;True;False;1;1
3;1318834;Appartement au coeur du Marais;entire_home;Paris;République;48.8703699867;2.35851034;3;2;2;1;False;False;True;False;False;0.82;0.48
4;1677091;Lovely & Quiet flat;entire_home;Paris;Buttes-Chaumont - Belleville;48.8741486149;2.373699571;2;1;1;1;False;False;True;True;False;0.95;0.9
5;2157481;CENTRAL ET BIEN CONÇU,50m2+terrasse;entire_home;Paris;10e arrondissement;48.8758626621;2.3726647042;4;2;1;1;False;False;True;False;False;1;1
6;1140610;Petit atelier canal st Martin;entire_home;Paris;République;48.869362;2.368722;3;1;1;1;False;False;True;False;False;0.86;0.66
7;5662637;Sophisticated & Sunny Opulent 1BR *Opéra *4 Guests;entire_home;Paris;Opéra - Grands Boulevards;48.8727810623;2.3515491161;2;2;1;1;False;False;True;True;False;0.92;0.85
8;5981388;Paris 16 - Elysées-Kléber-Trocadero /;entire_home;Paris;Passy;48.8689524256;2.2893333932;6;5;2;2;False;False;True;True;False;0.9;0.75
9;149534;GREAT WARM FULL APT LE HAUT MARAIS;entire_home;Paris;;48.8663599642;2.3618441733;4;2;1;1;False;False;True;True;False;1;0.4
10;7936602;UNIQUE ARCHITECT DESIGNED HOUSE;entire_home;Paris;Châtelet - Les Halles - Beaubourg;48.8641158013;2.34798053;4;2;2;1.5;False;False;True;False;False;0.83;1
11;9468773;La Maison d'Anne suite 2 chambres;entire_home;Paris;Saint-Michel;48.8513389956;2.3501753677;5;4;2;1;False;False;True;True;False;0.92;1
12;56093; Beau duplex dans le Marais ;entire_home;Paris;3e arrondissement;48.867284473;2.3584308861;4;2;1;1;False;False;True;True;False;0.88;1
13;57207;Belle Chambre pour court;private_room;Paris;Vaugirard;48.8461836431;2.304454636;2;1;1;1;False;False;True;False;False;0.87;1
14;14386985;Chambre avec salle de douche privative;private_room;Paris;Châtelet - Les Halles - Beaubourg;48.8619596695;2.3483874635;2;1;1;1;False;False;True;True;False;1;1
15;15366928;stunning studio Charles Laffitte;entire_home;Neuilly-sur-Seine;16e arrondissement;48.8799658463;2.2744986479;2;1;1;1;False;False;True;True;False;1;0.85
16;15881321;2 Bedroom Parisian Apartment Close to Eiffel Tower;entire_home;Paris;Tour Eiffel - Champ de Mars;48.8546902827;2.2983916208;6;3;2;1;False;False;True;True;False;1;1
17;1896398;chambre à louer pour 1 ou 2;private_room;Paris;Père Lachaise - Ménilmontant;48.8611933018;2.4053367725;2;2;1;1;False;False;True;False;False;1;1
18;17956827;PARIS PANTHEON QUARTIER LATIN;private_room;Paris;Montparnasse;48.8461892666;2.3243340887;3;3;1;1;False;False;True;False;False;1;1
19;114543;Charming 1bdr 55m² - Eiffel Tower;entire_home;Paris;;48.8495295698;2.2902192042;2;1;1;1;False;False;True;True;False;0.9;0.9
20;22199515;Spacious 2 BR Near Eiffel Tower and St Germain;entire_home;Paris;Invalides - Ecole Militaire;48.8575088798;2.3226100819;3;2;2;1.5;False;False;True;True;False;1;1
21;22568676;Centre Rex Opéra;entire_home;Paris;Opéra - Grands Boulevards;48.8723166778;2.3487955035;4;3;2;1;False;False;True;True;False;0.9;1
22;23179840;LIEU UNIQUE DANS PARIS;entire_home;Paris;Buttes-Chaumont - Belleville;48.8723609602;2.37755945;4;2;1;1;False;False;True;True;False;0.9;1
23;2760689;Cosy studio - Place des Vosges/Marais;entire_home;Paris;Saint-Paul - Ile Saint-Louis;48.8527309869;2.3634852404;2;1;0;1;False;False;True;True;False;1;1
24;23871255;Modern 1 Bedroom 1 Bath Near Arc de Triomphe;entire_home;Paris;Champs-Elysées;48.8743736481;2.3048240623;2;1;1;1;False;False;True;True;False;1;1
25;170599;Sunny modern studio in Gambetta;entire_home;Paris;Père Lachaise - Ménilmontant;48.8675598464;2.4026462456;2;1;1;1;False;False;True;True;False;1;1
26;24248060;Charmant studio calme dans un quartier très vivant;entire_home;Paris;Pigalle - Saint-Georges;48.8814809684;2.3427679207;2;1;0;1;False;False;True;True;False;0.83;1
27;24488632;APPT CHARMANT ET MODERNE - RIVE GAUCHE;entire_home;Paris;Montparnasse;48.8480851299;2.3212067659;4;2;1;1;False;False;True;False;False;1;0.9
28;164255;Perfect place in Le Marais - Paris;entire_home;Paris;3e arrondissement;48.8613976778;2.3642991029;4;2;1;1;False;False;True;False;False;1;1
29;167998;Cosy Luxe, Louvre, Opera, St.Honoré;entire_home;Paris;Madeleine - Vendôme;48.8660561973;2.3304002326;4;3;2;1;False;False;True;False;False;1;1
30;25702020;Appartement de charme dans le Marais;entire_home;Paris;Saint-Paul - Ile Saint-Louis;48.8546408229;2.3580454106;6;3;3;1;False;False;True;True;False;1;1
31;25766867;Light and cozy apartment at Trocadero;entire_home;Paris;Passy;48.8649507282;2.2829650623;2;2;1;1;False;False;True;True;False;1;1
32;26556587;Paris-Montmartre Charming & Cosy Appartment;entire_home;Paris;Pigalle - Saint-Georges;48.8816604595;2.3336617167;2;1;1;1;False;False;True;True;False;1;1
33;27154367;Twin room between Gare du Nord and Gare de l'Est;private_room;Paris;Gare du Nord - Gare de I'Est;48.8800169097;2.3519375038;2;1;1;1;False;False;True;False;False;1;1
34;183599;Champs Elysees Chic- Charming ;entire_home;Paris;Monceau;48.874600695;2.3132841401;3;1;1;1;False;False;True;False;False;1;1
35;28030890;Romantique studio Paris centre. Au pied du metro;entire_home;Paris;Châtelet - Les Halles - Beaubourg;48.8598228417;2.3455318332;2;1;1;1;False;True;True;False;False;0.76;0.62
36;1139385;Studio Paris 9 proche Sacré-Coeur;entire_home;Paris;;48.882326989;2.3453969983;2;1;0;1;False;False;True;False;False;0.9;0.75
37;222707;romantique apt au pied  Montmartre;entire_home;Paris;Pigalle - Saint-Georges;48.8822451117;2.3327336333;2;1;1;1;False;False;True;True;False;0.9;0.7
38;262557;Joli studio 2 pièces Rue de Lancry - Bonsergent;entire_home;Paris;République;48.8706749255;2.3619549498;2;1;1;1;False;False;True;False;False;1;0.61
39;277555;Luxueuse chambre près du Marais;private_room;Paris;République;48.8628666668;2.3741111596;3;1;1;1;False;False;True;True;False;0.95;0.75
40;287037;A room for the night an the rest...;private_room;Paris;Buttes-Chaumont - Belleville;48.8732577382;2.3860859567;1;1;1;1;False;False;True;False;False;1;0.57
41;287932;Apt 10 min de Montmartre et d'Opéra;entire_home;Paris;Pigalle - Saint-Georges;48.8757745776;2.3419752719;4;1;1;1;False;False;True;True;False;0.9;1
42;289572;Appartement - Quartier Tour Eiffel;entire_home;Paris;Invalides - Ecole Militaire;48.8533655467;2.3098814583;4;2;1;1;False;False;True;True;False;1;1
43;334292;Charming 2br haussmannian 50 sqm on garden;entire_home;Paris;Père Lachaise - Ménilmontant;48.8686002404;2.3952256048;2;2;2;1;False;False;True;False;False;0.97;0.93
44;344390;Sous le soleil Parisien - Opéra;entire_home;Paris;Gare du Nord - Gare de I'Est;48.8793282086;2.347267396;2;1;1;1;False;False;True;True;False;1;1
45;370340;The real  Paris : Le Haut Marais;entire_home;Paris;3e arrondissement;48.8653893792;2.360764483;2;2;2;1;False;False;True;False;False;0.86;0.58
46;404530;Charme+Soleil Paris Opéra 80 m2;entire_home;Paris;Opéra - Grands Boulevards;48.8726738616;2.3400156505;3;2;2;1;False;False;True;False;False;0.9;0.8
47;406852;Maison de Charme Atypique à Paris;entire_home;Paris;Père Lachaise - Ménilmontant;48.8618117496;2.4028498217;8;5;3;3;False;False;True;True;False;1;0.55
48;422409;UNIQUE APT DS MAISON/TRIPLEX MARAIS;entire_home;Paris;Châtelet - Les Halles - Beaubourg;48.8630003506;2.353802713;4;1;1;1;False;False;True;True;False;1;1
49;447208;Le plus charmant apt Paris Louvre;entire_home;Paris;Palais Royal;48.8669125462;2.3437854034;3;2;1;1;False;False;True;True;False;1;0.9
50;451629;3 pièces terrasse près de Bastille ;entire_home;Paris;11e arrondissement;48.8521627253;2.3866688738;3;2;2;1;False;False;True;True;False;1;0.84
51;452822;2 rooms, 50m² - Canal Saint Martin;entire_home;Paris;Canal Saint-Martin;48.8737973023;2.3641809234;4;2;1;1;False;False;True;True;False;0.9;0.85
52;459950;CALME et SPACIEUX LOFT, 11e, BASTILLE/NATION;entire_home;Paris;11e arrondissement;48.8509872111;2.3877196549;3;2;2;2;False;False;True;True;False;1;0.8
53;463726;L'appartement aux 1000 secrets;entire_home;Paris;Saint-Paul - Ile Saint-Louis;48.8524357025;2.3614444045;4;2;2;2;False;False;True;True;False;0.95;1
54;470446;INDEPENDANT1 STUDIO PARIS CENTER;private_room;Paris;Le Marais;48.8590461985;2.3563482812;2;2;1;1;False;False;True;True;False;0.97;0.6
55;474612;Spacious, quiet loft, rue Oberkampf;entire_home;Paris;11e arrondissement;48.8665123733;2.3827166926;7;7;4;2;False;False;True;True;False;0.9;0.8
56;559493;Le Marais very cosy & elegant 2BR;entire_home;Paris;3e arrondissement;48.8645364803;2.3638886129;3;2;2;1;False;False;True;True;False;0.85;0.6
57;579343;Cosy 60 m² 2 real rooms with patio;entire_home;Paris;Buttes-Chaumont - Belleville;48.8725350846;2.3894394893;4;2;2;1;False;False;True;True;False;0.9;0.76
58;593465;"Typical parisian ""pied a terre""";entire_home;Paris;Ternes;48.8825480926;2.2926876266;4;1;1;1;False;False;True;True;False;1;1
59;595610;charme et calme au coeur de Paris;entire_home;Paris;Panthéon;48.845554713;2.3552876226;5;4;1;1;False;False;True;True;False;0.86;0.75
60;603267;Luxury cosy flat on CHAMPS ELYSEES;entire_home;Paris;Champs-Elysées;48.8724606615;2.3028261477;4;2;1;1;False;False;True;False;False;0.95;1
61;611897;Studio Paris Centre Chatelet/Halles;entire_home;Paris;Châtelet - Les Halles - Beaubourg;48.8644705589;2.3464273362;2;1;1;1;False;False;True;False;False;1;1
62;688223;Appartement tendance coeur de Paris;entire_home;Paris;Madeleine - Vendôme;48.8709586389;2.3237762632;4;1;1;1;False;False;True;False;False;1;1
63;728396;Élégance, Confort & Charme Parisien;entire_home;Paris;République;48.8681864976;2.3688861107;2;1;1;1;False;False;True;True;False;1;0.75
64;745338;Saint Germain des Prés - Notre Dame;entire_home;Paris;Saint Germain des Prés - Odéon;48.8562196355;2.3383114381;2;1;1;1;False;False;True;False;False;0.85;0.6
65;757733;Superbe appartement Paris centre;entire_home;Paris;Saint Germain des Prés - Odéon;48.8538549846;2.3433937199;2;1;1;1;False;False;True;True;False;1;1
66;761399;top center front Beaubourg MuseummodernArtMarais;entire_home;Paris;Châtelet - Les Halles - Beaubourg;48.8584683615;2.3505639362;5;3;2;1.5;False;False;True;False;False;0.88;0.51
67;762171;Loft - Paris 6/St Germain des Prés;entire_home;Paris;Saint Germain des Prés - Odéon;48.8541967038;2.3397747936;5;3;2;1.5;False;False;True;True;False;0.9;0.74
68;768731;G04518 Superb studio Paris Marais;entire_home;Paris;Le Marais;48.8568774045;2.359187507;2;1;0;1;False;False;True;True;False;1;1
69;782786;Typique 2P parisien à Ménilmontant;entire_home;Paris;11e arrondissement;48.867887572;2.3803973178;4;2;1;1;False;False;True;True;False;0.85;0.7
70;793331;Superbe Studio Cosy - quartier branché Oberkampf;entire_home;Paris;République;48.8661028563;2.3755239328;2;1;1;1;False;False;True;True;False;1;0.9
71;814262;Studette idéalement située Place des Ternes;entire_home;Paris;;48.8803030816;2.2996144477;2;1;1;1;False;False;True;False;False;0.94;0.62
72;822948;New 43 m2 1 bdr on Canal St. Martin;entire_home;Paris;Canal Saint-Martin;48.8787224598;2.3672230054;3;2;1;1;False;False;True;False;False;0.98;1
